ACST,Power,Temperature,Relative Humidity,Cloud Cover,Shortwave Radiation,Wind Speed,Wind Direction,ghi
2017-10-18 13:27:00+08:00,3147.80141872,16.259535,53,100.0,572.27,14.038547,236.61147999999997,959.4658712418025
2017-10-18 13:37:00+08:00,3198.10874624,16.259535,53,100.0,572.27,14.038547,236.61147999999997,959.4658712418025
2017-10-18 13:47:00+08:00,3255.60283744,16.259535,53,100.0,572.27,14.038547,236.61147999999997,959.4658712418025
2017-10-18 13:57:00+08:00,3176.5484643199998,16.259535,53,100.0,572.27,14.038547,236.61147999999997,959.4658712418025
2017-10-18 14:07:00+08:00,3119.05437312,16.389534,53,100.0,574.05,14.066323,232.69606000000002,861.6392064353131
2017-10-18 14:17:00+08:00,3104.6808518399994,16.389534,53,100.0,574.05,14.066323,232.69606000000002,861.6392064353131
2017-10-18 14:27:00+08:00,3083.12056688,16.389534,53,100.0,574.05,14.066323,232.69606000000002,861.6392064353131
2017-10-18 14:37:00+08:00,2996.8794331199997,16.389534,53,100.0,574.05,14.066323,232.69606000000002,861.6392064353131
2017-10-18 14:47:00+08:00,2953.75886624,16.389534,53,100.0,574.05,14.066323,232.69606000000002,861.6392064353131
2017-10-18 14:57:00+08:00,2889.0780144,16.389534,53,100.0,574.05,14.066323,232.69606000000002,861.6392064353131
2017-10-18 15:07:00+08:00,2838.77068688,16.289536,54,100.0,480.6,14.139292000000001,227.29062000000002,705.1496132367936
2017-10-18 15:17:00+08:00,2781.2765956800004,16.289536,54,100.0,480.6,14.139292000000001,227.29062000000002,705.1496132367936
2017-10-18 15:27:00+08:00,2695.03546192,16.289536,54,100.0,480.6,14.139292000000001,227.29062000000002,705.1496132367936
2017-10-18 15:37:00+08:00,2637.54137072,16.289536,54,100.0,480.6,14.139292000000001,227.29062000000002,705.1496132367936
2017-10-18 15:47:00+08:00,2551.3002369600003,16.289536,54,100.0,480.6,14.139292000000001,227.29062000000002,705.1496132367936
2017-10-18 15:57:00+08:00,2450.6855788800003,16.289536,54,100.0,480.6,14.139292000000001,227.29062000000002,705.1496132367936
2017-10-18 16:07:00+08:00,2335.69739952,15.899534,55,100.0,354.22,13.959970000000002,221.90594,501.6164553759195
